τε καὶ	τὸν δ	ὃ δ	οἳ δ	δ ἄρα	δ ἄρ	δέ οἱ	δ ἐν	δὲ καὶ	τὸν δὲ	ὣς εἰπὼν	οὔ τι	ὣς ἔφατ	ὣς φάτο	οἳ δὲ	δέ μιν	ὃ μὲν	ὅτε δὴ	ὃ δὲ	ὅ γ	οἳ μὲν	δ αὖτε	ὡς δ	αὐτὰρ ὃ	ὣς ἔφαθ	ἣ δ	δέ τε	δ ἐπὶ	ἐν δ	ὅ γε	δ οὔ	τῷ δ	ὣς ἄρα	ἀλλ ὅτε	ἔπεα πτερόεντα	πτερόεντα προσηύδα	οὐ γὰρ	αὐτὰρ ἐπεὶ	δ ὅτε	τὸν μὲν	ἐπὶ νῆας	νῦν δ	δ ἠμείβετ	τὴν δ	δέ τοι	ἠμείβετ ἔπειτα	καί μιν	ἀλλ ἄγε	ἐκ δ	ἔφαθ οἳ	ἐν δὲ	τοῦ δ	δ οὐκ	δέ μοι	οὐ γάρ	δ ὡς	δ ἀπαμειβόμενος	δ ἐκ	ῥα καὶ	ἀπαμειβόμενος προσέφη	εἰ δέ	μὲν γὰρ	ἦ ῥα	δ οὐ	εἰ μὴ	βῆ δὲ	ὥς τε	μὲν ἄρ	δ ἐπ	σὺ δ	οὐδέ τι	τὼ δ	αὐτίκα δ	δ αὖ	εἰ δ	οὐδέ τί	τοῖσι δ	ἦ καὶ	αἴ κ	τοὶ δ	τοῖσι δὲ	δ ἐξ	εἰς ὅ	ἐπεὶ οὔ	σὺ μὲν	καί οἱ	δέ κεν	δ ἀπὸ	δ αὖτ	αὖτε προσέειπε	παρὰ νηυσὶ	ἀμφὶ δ	καί ῥ	ἐνὶ στήθεσσιν	ἀμφὶ δὲ	δέ τ	ὢ πόποι	οὐ μὲν	ἐπὶ δὲ	δ ἐπεὶ
Iliados_1.txt	0.0017710870046491	0.00243524463139252	0.000442771751162276	0.000885543502324552	0.000664157626743414	0.00110692937790569	0.000664157626743414	0.000221385875581138	0.00132831525348683	0.000221385875581138	0.000885543502324552	0.00132831525348683	0.000885543502324552	0.00132831525348683	0.000221385875581138	0.000221385875581138	0.000221385875581138	0.000221385875581138	0.000442771751162276	0.00110692937790569	0.000664157626743414	0.000442771751162276	0	0.000664157626743414	0	0.000664157626743414	0.000221385875581138	0.00110692937790569	0.000885543502324552	0.000885543502324552	0.000664157626743414	0.000221385875581138	0.000221385875581138	0.000221385875581138	0.000221385875581138	0.000221385875581138	0.000885543502324552	0.000885543502324552	0.000221385875581138	0	0.000664157626743414	0.00110692937790569	0.00110692937790569	0.00132831525348683	0.00154970112906797	0.00110692937790569	0.00110692937790569	0.000664157626743414	0.000885543502324552	0	0.000221385875581138	0.000664157626743414	0.000221385875581138	0.000442771751162276	0.000221385875581138	0.000221385875581138	0.00110692937790569	0.000221385875581138	0	0.00110692937790569	0.000664157626743414	0.000221385875581138	0	0.000221385875581138	0	0.000221385875581138	0	0	0.000221385875581138	0.000664157626743414	0.000885543502324552	0.000664157626743414	0.000221385875581138	0.000221385875581138	0.000664157626743414	0.000664157626743414	0.000664157626743414	0.000442771751162276	0	0.000221385875581138	0.000221385875581138	0	0	0.000885543502324552	0.000664157626743414	0.000221385875581138	0.000664157626743414	0	0	0.000221385875581138	0.000664157626743414	0	0.000221385875581138	0	0.000221385875581138	0	0	0.000442771751162276	0	0.000442771751162276
Iliados_10.txt	0.00288184438040346	0.00576368876080692	0.00192122958693564	0.00216138328530259	0.00144092219020173	0.00168107588856868	0.00192122958693564	0.000720461095100865	0.00048030739673391	0.00048030739673391	0.000960614793467819	0.000240153698366955	0.000240153698366955	0.00048030739673391	0	0	0	0.000960614793467819	0.000960614793467819	0.000240153698366955	0.000240153698366955	0.00120076849183477	0.00048030739673391	0.00120076849183477	0.000720461095100865	0	0.00048030739673391	0.00120076849183477	0	0.00048030739673391	0	0.00048030739673391	0.000240153698366955	0.00120076849183477	0.00048030739673391	0.00048030739673391	0	0	0.000960614793467819	0.000720461095100865	0.00144092219020173	0.000240153698366955	0.00168107588856868	0	0.000240153698366955	0.00168107588856868	0.000240153698366955	0.000960614793467819	0.000240153698366955	0.000720461095100865	0	0.000240153698366955	0.00048030739673391	0.000240153698366955	0.00048030739673391	0	0.000960614793467819	0	0.000240153698366955	0.000960614793467819	0.000240153698366955	0	0.000240153698366955	0	0	0.000240153698366955	0.00048030739673391	0	0	0.000240153698366955	0.000240153698366955	0.000720461095100865	0.000240153698366955	0.00048030739673391	0.000240153698366955	0.00048030739673391	0	0.000240153698366955	0.000240153698366955	0.000960614793467819	0.000960614793467819	0.00048030739673391	0.00048030739673391	0.000240153698366955	0.000240153698366955	0.00048030739673391	0	0.000240153698366955	0	0.000720461095100865	0.000240153698366955	0.000720461095100865	0.00048030739673391	0	0	0	0	0.000240153698366955	0	0.00048030739673391
Iliados_11.txt	0.00215946843853821	0.00249169435215947	0.00166112956810631	0.00149501661129568	0.000830564784053156	0.000830564784053156	0.00116279069767442	0.00132890365448505	0.000332225913621262	0.000830564784053156	0.000664451827242525	0.000664451827242525	0.000498338870431894	0.000498338870431894	0.00116279069767442	0.000498338870431894	0.000830564784053156	0.000996677740863787	0.00149501661129568	0.000664451827242525	0.000332225913621262	0.000166112956810631	0.00116279069767442	0.00116279069767442	0.000166112956810631	0.000166112956810631	0.000830564784053156	0.000498338870431894	0.000664451827242525	0.000332225913621262	0	0.000332225913621262	0.000498338870431894	0.000830564784053156	0.000166112956810631	0.000166112956810631	0.000166112956810631	0.000498338870431894	0.000830564784053156	0.000498338870431894	0.000332225913621262	0	0.000166112956810631	0	0	0.000166112956810631	0.000498338870431894	0.000498338870431894	0.000498338870431894	0	0.000498338870431894	0.000332225913621262	0.000332225913621262	0.000332225913621262	0.000166112956810631	0.000664451827242525	0.000332225913621262	0.000996677740863787	0.000166112956810631	0.000332225913621262	0.000166112956810631	0.000498338870431894	0.000166112956810631	0.000166112956810631	0.000332225913621262	0.000664451827242525	0.000332225913621262	0.000332225913621262	0.000664451827242525	0.000166112956810631	0.000166112956810631	0.000996677740863787	0.000332225913621262	0	0	0	0.000166112956810631	0.000830564784053156	0	0.000332225913621262	0.000166112956810631	0.000498338870431894	0.000498338870431894	0	0	0.000166112956810631	0	0.000664451827242525	0.000332225913621262	0.000166112956810631	0.000166112956810631	0.000332225913621262	0.000166112956810631	0.000166112956810631	0.000166112956810631	0.000996677740863787	0	0.000166112956810631	0.000332225913621262	0.000166112956810631
Iliados_12.txt	0.00151469251741896	0.000908815510451378	0.00212056952438655	0.00242350802787034	0.00121175401393517	0.00212056952438655	0.000302938503483793	0.000302938503483793	0.00121175401393517	0.000302938503483793	0	0.000605877006967586	0.00121175401393517	0.000302938503483793	0.00151469251741896	0.00151469251741896	0.000605877006967586	0.000302938503483793	0	0.000605877006967586	0.00121175401393517	0	0.000605877006967586	0	0.000302938503483793	0.000302938503483793	0.000605877006967586	0.000302938503483793	0	0.000908815510451378	0.000605877006967586	0	0.00121175401393517	0	0.000302938503483793	0.000302938503483793	0.000302938503483793	0.000605877006967586	0.000302938503483793	0.000302938503483793	0	0.000302938503483793	0	0	0	0	0	0	0.000605877006967586	0.000302938503483793	0.000302938503483793	0.000302938503483793	0	0	0.000302938503483793	0.000302938503483793	0	0.000605877006967586	0	0	0.000605877006967586	0.000605877006967586	0	0.000605877006967586	0.000302938503483793	0.000302938503483793	0.00121175401393517	0.000302938503483793	0.000605877006967586	0	0	0.000302938503483793	0.000908815510451378	0	0.000302938503483793	0	0	0	0	0.000908815510451378	0	0.000302938503483793	0.000302938503483793	0.000302938503483793	0.000302938503483793	0.00121175401393517	0	0.000605877006967586	0	0	0.000605877006967586	0	0	0	0.000302938503483793	0	0	0	0.000302938503483793	0.000302938503483793
Iliados_13.txt	0.00254108080636964	0.00220227003218702	0.00271048619346095	0.00237167541927833	0.00220227003218702	0.000847026935456547	0.00203286464509571	0.00135524309673048	0.000508216161273928	0.00101643232254786	0.000847026935456547	0.000677621548365238	0.000169405387091309	0.000847026935456547	0.000169405387091309	0.000677621548365238	0.00118583770963917	0.000508216161273928	0.00135524309673048	0.00135524309673048	0.00118583770963917	0.000169405387091309	0.000338810774182619	0.000508216161273928	0.000169405387091309	0	0.00101643232254786	0	0.000338810774182619	0.000677621548365238	0.000677621548365238	0.000508216161273928	0.000508216161273928	0.000169405387091309	0.000677621548365238	0.000677621548365238	0.000847026935456547	0.000169405387091309	0.000338810774182619	0.000508216161273928	0	0.000338810774182619	0.000169405387091309	0	0.000338810774182619	0.000169405387091309	0.000508216161273928	0.000338810774182619	0.000508216161273928	0.000169405387091309	0.000169405387091309	0.000338810774182619	0.000677621548365238	0	0.000169405387091309	0.000508216161273928	0.000169405387091309	0.000338810774182619	0.000508216161273928	0.000169405387091309	0	0.000338810774182619	0.000169405387091309	0.000338810774182619	0.000169405387091309	0.000338810774182619	0.000677621548365238	0.000169405387091309	0	0	0.000677621548365238	0.000338810774182619	0.000338810774182619	0.000508216161273928	0.000169405387091309	0.000169405387091309	0	0.000169405387091309	0.000508216161273928	0.000338810774182619	0	0.000508216161273928	0	0.000169405387091309	0.000169405387091309	0.000169405387091309	0	0.000169405387091309	0.00101643232254786	0	0.000847026935456547	0.000338810774182619	0.000169405387091309	0.000338810774182619	0.000169405387091309	0	0.000169405387091309	0.000169405387091309	0	0.000169405387091309
Iliados_14.txt	0.0040290088638195	0.0021488047273704	0.0032232070910556	0.0010744023636852	0.0010744023636852	0.0016116035455278	0.002686005909213	0.0016116035455278	0.0008058017727639	0.0008058017727639	0.0008058017727639	0.0002686005909213	0.0008058017727639	0.0008058017727639	0.0005372011818426	0	0.0018802041364491	0.0002686005909213	0.0008058017727639	0	0	0.0010744023636852	0.0008058017727639	0	0.0005372011818426	0	0	0.0016116035455278	0.0008058017727639	0	0.0008058017727639	0.0013430029546065	0	0.0002686005909213	0.0008058017727639	0.0008058017727639	0.0002686005909213	0.0002686005909213	0.0002686005909213	0.0008058017727639	0.0002686005909213	0.0002686005909213	0.0008058017727639	0.0016116035455278	0.0002686005909213	0.0008058017727639	0.0008058017727639	0	0.0002686005909213	0.0005372011818426	0	0	0.0010744023636852	0	0.0010744023636852	0.0005372011818426	0.0008058017727639	0	0.0005372011818426	0.0005372011818426	0	0.0005372011818426	0.0005372011818426	0.0008058017727639	0.0002686005909213	0.0002686005909213	0	0	0.0005372011818426	0.0002686005909213	0.0002686005909213	0.0002686005909213	0.0005372011818426	0	0	0	0.0002686005909213	0.0002686005909213	0.0002686005909213	0	0.0002686005909213	0.0002686005909213	0.0005372011818426	0.0002686005909213	0.0002686005909213	0.0002686005909213	0.0008058017727639	0	0.0002686005909213	0.0005372011818426	0.0002686005909213	0.0005372011818426	0	0.0005372011818426	0	0	0.0002686005909213	0.0002686005909213	0.0002686005909213	0
Iliados_15.txt	0.00319069069069069	0.0015015015015015	0.00281531531531532	0.00131381381381381	0.000563063063063063	0.000375375375375375	0.00206456456456456	0.000938438438438438	0.000938438438438438	0.000938438438438438	0.00168918918918919	0.000187687687687688	0.000938438438438438	0.000563063063063063	0.000750750750750751	0.000563063063063063	0.000938438438438438	0	0.000375375375375375	0.0015015015015015	0.000938438438438438	0.000375375375375375	0.000750750750750751	0.000187687687687688	0.000563063063063063	0.000563063063063063	0.000750750750750751	0.000187687687687688	0.000187687687687688	0.000375375375375375	0.000187687687687688	0	0	0	0.000938438438438438	0.000938438438438438	0.000563063063063063	0.000938438438438438	0.000187687687687688	0.000563063063063063	0.000375375375375375	0	0.000563063063063063	0.000375375375375375	0.000187687687687688	0.000563063063063063	0.000750750750750751	0.000187687687687688	0.000187687687687688	0.000563063063063063	0	0.000563063063063063	0.000750750750750751	0.000187687687687688	0	0.000750750750750751	0	0	0.000187687687687688	0	0.000375375375375375	0	0	0.000187687687687688	0.000187687687687688	0.000375375375375375	0.000563063063063063	0.000750750750750751	0.000187687687687688	0.000375375375375375	0	0.000187687687687688	0	0	0	0.000187687687687688	0.000563063063063063	0.000187687687687688	0	0.000187687687687688	0.000375375375375375	0.000375375375375375	0.000187687687687688	0.000375375375375375	0	0	0.000187687687687688	0.000375375375375375	0.000187687687687688	0.000187687687687688	0.000187687687687688	0.000187687687687688	0.000563063063063063	0.000375375375375375	0.000563063063063063	0.000187687687687688	0.000563063063063063	0	0.000563063063063063	0
Iliados_16.txt	0.00213254593175853	0.00180446194225722	0.00196850393700787	0.00164041994750656	0.00147637795275591	0.00147637795275591	0.00213254593175853	0.000492125984251968	0.000984251968503937	0.000820209973753281	0.000820209973753281	0.000328083989501312	0.000656167979002625	0.000656167979002625	0.00114829396325459	0.00114829396325459	0.00131233595800525	0.000492125984251968	0.000820209973753281	0	0.000492125984251968	0	0.000984251968503937	0.000164041994750656	0.000164041994750656	0.000328083989501312	0.000984251968503937	0.000492125984251968	0.000492125984251968	0	0	0.000164041994750656	0.000656167979002625	0.000328083989501312	0.000656167979002625	0.000656167979002625	0.000328083989501312	0.000328083989501312	0.000492125984251968	0.000164041994750656	0.000492125984251968	0	0.000164041994750656	0	0.000492125984251968	0.000164041994750656	0.000328083989501312	0.000164041994750656	0.000328083989501312	0.000164041994750656	0.000656167979002625	0.000820209973753281	0.000328083989501312	0.000656167979002625	0.000164041994750656	0.000656167979002625	0	0.000492125984251968	0.000492125984251968	0	0.000328083989501312	0.000656167979002625	0.000328083989501312	0.000656167979002625	0.000164041994750656	0.000328083989501312	0.000328083989501312	0	0.000164041994750656	0.000656167979002625	0	0.000492125984251968	0.000328083989501312	0.000164041994750656	0.000164041994750656	0.000164041994750656	0	0	0.000164041994750656	0.000164041994750656	0	0.000164041994750656	0.000164041994750656	0	0	0.000164041994750656	0.000164041994750656	0.000820209973753281	0	0	0.000328083989501312	0.000164041994750656	0.000164041994750656	0.000164041994750656	0.000492125984251968	0.000492125984251968	0.000164041994750656	0	0	0.000328083989501312
Iliados_17.txt	0.00350230414746544	0.00147465437788018	0.00110599078341014	0.00147465437788018	0.00147465437788018	0.00129032258064516	0.00165898617511521	0.00110599078341014	0.000737327188940092	0.00147465437788018	0.00110599078341014	0.000552995391705069	0.00165898617511521	0.000921658986175115	0	0.000552995391705069	0.000737327188940092	0.000184331797235023	0.000737327188940092	0.000368663594470046	0.000368663594470046	0.000184331797235023	0.000737327188940092	0.000184331797235023	0.000368663594470046	0.000184331797235023	0.00129032258064516	0.000921658986175115	0	0.000552995391705069	0.000368663594470046	0	0.000552995391705069	0.000368663594470046	0.000368663594470046	0.000368663594470046	0.000552995391705069	0	0.000184331797235023	0.000368663594470046	0.000552995391705069	0.000368663594470046	0.000184331797235023	0.000184331797235023	0.000184331797235023	0.000184331797235023	0.000368663594470046	0.000184331797235023	0.000368663594470046	0.000368663594470046	0.000368663594470046	0.000368663594470046	0.000184331797235023	0	0.000737327188940092	0.000184331797235023	0	0	0.000184331797235023	0	0.000368663594470046	0.000368663594470046	0.000184331797235023	0.000737327188940092	0.000368663594470046	0.00110599078341014	0.000737327188940092	0	0.000184331797235023	0.000184331797235023	0	0.000737327188940092	0.000737327188940092	0.000184331797235023	0.000368663594470046	0.000368663594470046	0.000368663594470046	0.000184331797235023	0	0.000368663594470046	0.000184331797235023	0.000368663594470046	0.000184331797235023	0.000184331797235023	0.000552995391705069	0.000368663594470046	0.000368663594470046	0.000184331797235023	0.000737327188940092	0.000184331797235023	0.000184331797235023	0.000368663594470046	0	0.000552995391705069	0.000184331797235023	0.000737327188940092	0.000368663594470046	0.000368663594470046	0.000184331797235023	0
Iliados_18.txt	0.00317244504871969	0.00271923861318831	0.00135961930659415	0.00226603217765692	0.000679809653297077	0.00135961930659415	0.000906412871062769	0.00135961930659415	0.000906412871062769	0.000453206435531385	0.000453206435531385	0.000906412871062769	0	0.000226603217765692	0.00158622252435985	0.000453206435531385	0.000906412871062769	0.000226603217765692	0.000453206435531385	0.000226603217765692	0.000906412871062769	0.00113301608882846	0.000679809653297077	0.000453206435531385	0.000226603217765692	0.000453206435531385	0	0.000679809653297077	0.00249263539542262	0.000226603217765692	0.00135961930659415	0.000226603217765692	0.000679809653297077	0	0.000453206435531385	0.000453206435531385	0.000226603217765692	0.000679809653297077	0.000906412871062769	0.000453206435531385	0.000453206435531385	0.00135961930659415	0.00135961930659415	0.00113301608882846	0	0.00135961930659415	0	0	0.000453206435531385	0	0.00158622252435985	0	0	0.000906412871062769	0.000226603217765692	0.000679809653297077	0.000226603217765692	0.000226603217765692	0	0.000226603217765692	0	0.000453206435531385	0	0.000226603217765692	0.000679809653297077	0.000226603217765692	0.000679809653297077	0.000679809653297077	0	0	0.000226603217765692	0	0	0.000226603217765692	0.000679809653297077	0.000453206435531385	0.000453206435531385	0.000226603217765692	0.000906412871062769	0	0.000453206435531385	0	0	0	0.000906412871062769	0.000226603217765692	0	0.000679809653297077	0.000226603217765692	0.000679809653297077	0.000226603217765692	0.000226603217765692	0.000453206435531385	0	0.000453206435531385	0.000906412871062769	0.000226603217765692	0	0.000453206435531385	0.000453206435531385
